category,family,color,slug,url,uid,title,price
footwear,Hunk3,All Black,hunk3-all-black,"https://ultera.in.ua/?p=hunk3-all-black,809858137952",809858137952,ULTERA - Hunk3 allBlack,3790.00
footwear,Hunk3,Вино,hunk3-wine,"https://ultera.in.ua/?p=hunk3-wine,905273291412",905273291412,ULTERA - Hunk3 Wine,3990.00
footwear,Hunk3,Асфальт,hunk3-asphalt,"https://ultera.in.ua/?p=hunk3-asphalt,798291700932",798291700932,ULTERA - Hunk3 Asphalt,3990.00
footwear,Hunk3,Коричневий,hunk3-brown,"https://ultera.in.ua/?p=hunk3-brown,806938391602",806938391602,ULTERA - Hunk3 Brauni,3990.00
footwear,Hunk3,Білий,hunk3-white,"https://ultera.in.ua/?p=hunk3-white,511313321014",511313321014,ULTERA - Hunk3 White,3990.00
footwear,Hunk3,Бронзово-білий,hunk3-bronze-white,"https://ultera.in.ua/?p=hunk3-bronze-white,254609486864",254609486864,ULTERA - Hunk3 Brauni White,3990.00
footwear,Aganta,ULTERA - Aganta,aganta-ultera-aganta,"https://ultera.in.ua/?p=aganta-ultera-aganta,924701650982",924701650982,ULTERA - Aganta,3790.00
footwear,Aganta,Сальвія,aganta-salvia,"https://ultera.in.ua/?p=aganta-salvia,977627506822",977627506822,ULTERA - Aganta Salvia,3790.00
footwear,Aganta,Аква,aganta-aqua,"https://ultera.in.ua/?p=aganta-aqua,260203663062",260203663062,ULTERA - Aganta Aqva,4100.00
footwear,Aganta,Чорний нубук,aganta-black-nubuck,"https://ultera.in.ua/?p=aganta-black-nubuck,454860479882",454860479882,ULTERA - Aganta Black nubuck,3790.00
footwear,SHAPE,ULTERA - SHAPE,shape-ultera-shape,"https://ultera.in.ua/?p=shape-ultera-shape,340180708714",340180708714,ULTERA - SHAPE,2790.00
footwear,SHAPE,Фісташковий,shape-pistachio,"https://ultera.in.ua/?p=shape-pistachio,482851122304",482851122304,ULTERA - SHAPE pistachio,2890.00
footwear,SHAPE,Бежевий,shape-beige,"https://ultera.in.ua/?p=shape-beige,450276762874",450276762874,ULTERA - SHAPE beige,2890.00
footwear,SHAPE,Чорний замша,shape-black-suede,"https://ultera.in.ua/?p=shape-black-suede,970030589784",970030589784,ULTERA - SHAPE black suede,2890.00
footwear,Hunk,Сіро-білий,hunk-grey-white,"https://ultera.in.ua/?p=hunk-grey-white,593008410302",593008410302,ULTERA - Hunk Grey White,3590.00
footwear,Hunk,Чорний,hunk-black,"https://ultera.in.ua/?p=hunk-black,244754285902",244754285902,ULTERA - Hunk Black,3490.00
footwear,Hunk,Фісташковий,hunk-pistachio,"https://ultera.in.ua/?p=hunk-pistachio,634978737742",634978737742,ULTERA - Hunk pistachio,3990.00
footwear,Hunk,Чорний/Білий,hunk-black-white,"https://ultera.in.ua/?p=hunk-black-white,607421449014",607421449014,ULTERA - Hunk Black white,3990.00
footwear,Hunk,Мʼятний,hunk-mint,"https://ultera.in.ua/?p=hunk-mint,469658834434",469658834434,ULTERA - Hunk Mint,4100.00
footwear,Hunk2,Panda,hunk2-panda,"https://ultera.in.ua/?p=hunk2-panda,671974984372",671974984372,ULTERA - Hunk2 panda,3590.00
footwear,Hunk2,Олива,hunk2-olive,"https://ultera.in.ua/?p=hunk2-olive,246465477824",246465477824,ULTERA - Hunk2 Olive,3590.00
footwear,Hunk BRFT,BRFT,hunk-brft-brft,"https://ultera.in.ua/?p=hunk-brft-brft,901880658842",901880658842,ULTERA - Hunk BRFT,3900.00
footwear,Hunk BRFT,Чорний BRFT,hunk-brft-black-brft,"https://ultera.in.ua/?p=hunk-brft-black-brft,576555820762",576555820762,ULTERA - Hunk Black BRFT,3900.00
footwear,Hunk BRFT,Чорний/Білий,hunk-brft-black-white,"https://ultera.in.ua/?p=hunk-brft-black-white,576612833084",576612833084,ULTERA - Hunk Black White BRFT,3900.00
footwear,Lite,Чорний,lite-black,"https://ultera.in.ua/?p=lite-black,338179584282",338179584282,ULTERA Lite Black,3350.00
footwear,Lite,Чорний/Білий,lite-black-white,"https://ultera.in.ua/?p=lite-black-white,567516763104",567516763104,ULTERA Lite Black white,3350.00
footwear,Spider,Чорний,spider-black,"https://ultera.in.ua/?p=spider-black,585095123222",585095123222,ULTERA - Spider black,3500.00
footwear,SHAPE,Блакитний,shape-blue,"https://ultera.in.ua/?p=shape-blue,184767423395",184767423395,ULTERA - SHAPE blue,2790.00
footwear,SHAPE,Бордо,shape-bordeaux,"https://ultera.in.ua/?p=shape-bordeaux,621792744368",621792744368,ULTERA - SHAPE burgundy,2790.00
footwear,SHAPE,Сірий,shape-grey,"https://ultera.in.ua/?p=shape-grey,329608071197",329608071197,ULTERA - SHAPE gray,2790.00
footwear,SHAPE,Помаранчевий,shape-orange,"https://ultera.in.ua/?p=shape-orange,255434553144",255434553144,ULTERA - SHAPE orange,2790.00
footwear,SHAPE,Червоний,shape-red,"https://ultera.in.ua/?p=shape-red,247156876545",247156876545,ULTERA - SHAPE red,2790.00
tees,lifestyle,Крем,hunk3-01,"https://ultera.in.ua/tshirts.html?p=hunk3-01,tee-001",tee-001,HUNK3 . 01,1490
tees,lifestyle,Чорний,ultera-02,"https://ultera.in.ua/tshirts.html?p=ultera-02,tee-002",tee-002,ULTERA . 02,1490
tees,lifestyle,Stone,aganta-03,"https://ultera.in.ua/tshirts.html?p=aganta-03,tee-003",tee-003,AGANTA . 03,1490
tees,lifestyle,Чорний,shift-04,"https://ultera.in.ua/tshirts.html?p=shift-04,tee-004",tee-004,SHIFT . 04,1490
tees,lifestyle,Червоний,route-05,"https://ultera.in.ua/tshirts.html?p=route-05,tee-005",tee-005,ROUTE . 05,1490
tees,lifestyle,Білий,urban-06,"https://ultera.in.ua/tshirts.html?p=urban-06,tee-006",tee-006,URBAN . 06,1490
tees,lifestyle,Білий,archive-07,"https://ultera.in.ua/tshirts.html?p=archive-07,tee-007",tee-007,ARCHIVE . 07,1490
tees,lifestyle,Графіт,bounce-08,"https://ultera.in.ua/tshirts.html?p=bounce-08,tee-008",tee-008,BOUNCE . 08,1490
tees,lifestyle,Рожевий,distance-09,"https://ultera.in.ua/tshirts.html?p=distance-09,tee-009",tee-009,DISTANCE . 09,1490
tees,lifestyle,Сірий,vector-10,"https://ultera.in.ua/tshirts.html?p=vector-10,tee-010",tee-010,VECTOR . 10,1490
tees,concept,Оливка,wave-11,"https://ultera.in.ua/tshirts.html?p=wave-11,tee-011",tee-011,WAVE . 11,1490
tees,concept,Чорний,snkrs-12,"https://ultera.in.ua/tshirts.html?p=snkrs-12,tee-012",tee-012,SNKRS . 12,1490
tees,concept,Крем,engine-13,"https://ultera.in.ua/tshirts.html?p=engine-13,tee-013",tee-013,ENGINE . 13,1490
tees,concept,Чорний,utility-14,"https://ultera.in.ua/tshirts.html?p=utility-14,tee-014",tee-014,UTILITY . 14,1490
tees,concept,Крем,mcode-15,"https://ultera.in.ua/tshirts.html?p=mcode-15,tee-015",tee-015,MCODE . 15,1490
tees,concept,Чорний,grid-16,"https://ultera.in.ua/tshirts.html?p=grid-16,tee-016",tee-016,GRID . 16,1490
tees,concept,Крем,motion-17,"https://ultera.in.ua/tshirts.html?p=motion-17,tee-017",tee-017,MOTION . 17,1490
tees,concept,Оливка,signal-18,"https://ultera.in.ua/tshirts.html?p=signal-18,tee-018",tee-018,SIGNAL . 18,1490
tees,concept,Графіт,unit-19,"https://ultera.in.ua/tshirts.html?p=unit-19,tee-019",tee-019,UNIT . 19,1490
tees,concept,Крем,spec-20,"https://ultera.in.ua/tshirts.html?p=spec-20,tee-020",tee-020,SPEC . 20,1490
tees,concept,Чорний,vector-21,"https://ultera.in.ua/tshirts.html?p=vector-21,tee-021",tee-021,VECTOR . 21,1490
tees,concept,Крем,archive-22,"https://ultera.in.ua/tshirts.html?p=archive-22,tee-022",tee-022,ARCHIVE . 22,1490
tees,concept,Оливка,modular-23,"https://ultera.in.ua/tshirts.html?p=modular-23,tee-023",tee-023,MODULAR . 23,1490
tees,concept,Чорний,system-24,"https://ultera.in.ua/tshirts.html?p=system-24,tee-024",tee-024,SYSTEM . 24,1490
tees,concept,Чорний,core-25,"https://ultera.in.ua/tshirts.html?p=core-25,tee-025",tee-025,CORE . 25,1490
tees,concept,Графіт,sole-26,"https://ultera.in.ua/tshirts.html?p=sole-26,tee-026",tee-026,SOLE . 26,1490
tees,concept,Рожевий,pulse-27,"https://ultera.in.ua/tshirts.html?p=pulse-27,tee-027",tee-027,PULSE . 27,1490
tees,concept,Чорний,mindex-28,"https://ultera.in.ua/tshirts.html?p=mindex-28,tee-028",tee-028,MINDEX . 28,1490
tees,concept,Рожевий,frame-29,"https://ultera.in.ua/tshirts.html?p=frame-29,tee-029",tee-029,FRAME . 29,1490
tees,concept,Червоний,tcode-30,"https://ultera.in.ua/tshirts.html?p=tcode-30,tee-030",tee-030,TCODE . 30,1490
tees,concept,Чорний,path-31,"https://ultera.in.ua/tshirts.html?p=path-31,tee-031",tee-031,PATH . 31,1490
tees,concept,Сірий,module-32,"https://ultera.in.ua/tshirts.html?p=module-32,tee-032",tee-032,MODULE . 32,1490
tees,concept,Рожевий,flow-33,"https://ultera.in.ua/tshirts.html?p=flow-33,tee-033",tee-033,FLOW . 33,1490
tees,concept,Червоний,number-34,"https://ultera.in.ua/tshirts.html?p=number-34,tee-034",tee-034,NUMBER . 34,1490
tees,concept,Чорний,edge-35,"https://ultera.in.ua/tshirts.html?p=edge-35,tee-035",tee-035,EDGE . 35,1490
tees,concept,Білий,blueprint-36,"https://ultera.in.ua/tshirts.html?p=blueprint-36,tee-036",tee-036,BLUEPRINT . 36,1490
tees,concept,Сірий,column-37,"https://ultera.in.ua/tshirts.html?p=column-37,tee-037",tee-037,COLUMN . 37,1490
tees,concept,Чорний,map-38,"https://ultera.in.ua/tshirts.html?p=map-38,tee-038",tee-038,MAP . 38,1490
tees,concept,Рожевий,sarch-39,"https://ultera.in.ua/tshirts.html?p=sarch-39,tee-039",tee-039,SARCH . 39,1490
tees,concept,Графіт,block-40,"https://ultera.in.ua/tshirts.html?p=block-40,tee-040",tee-040,BLOCK . 40,1490
tees,concept,Білий,index-41,"https://ultera.in.ua/tshirts.html?p=index-41,tee-041",tee-041,INDEX . 41,1490
tees,concept,Рожевий,orbit-42,"https://ultera.in.ua/tshirts.html?p=orbit-42,tee-042",tee-042,ORBIT . 42,1490
tees,concept,Червоний,ublock-43,"https://ultera.in.ua/tshirts.html?p=ublock-43,tee-043",tee-043,UBLOCK . 43,1490
tees,concept,Чорний,cipher-44,"https://ultera.in.ua/tshirts.html?p=cipher-44,tee-044",tee-044,CIPHER . 44,1490
tees,concept,Сірий,probe-45,"https://ultera.in.ua/tshirts.html?p=probe-45,tee-045",tee-045,PROBE . 45,1490
tees,concept,Рожевий,form-46,"https://ultera.in.ua/tshirts.html?p=form-46,tee-046",tee-046,FORM . 46,1490
tees,concept,Чорний,node-47,"https://ultera.in.ua/tshirts.html?p=node-47,tee-047",tee-047,NODE . 47,1490
